,Responses,Final Score
121,"I would urge people to choose conventionally grown foods. While organic foods have their benefits, the added costs don't outweigh these benefits--especially when looking at an environmental impact. In reality, we either need to improve organic or conventional farming methods so they're benefiting society and the planet at the same time.",25
203,I would say that organic is a better option. It is better for the food that you are eating and does help the earth in some ways.,20
228,I would probably tell them to make organic choices when they can but to keep in mind that organic is more expensive and I would inform them of the pros and cons.,15
31,"Organic is the best option because it has no chemicals and has less pesticides.
",20
81,"Organic is the best option in my opinion because there is no harmful chemicals and less pesticides even though it is more expensive, it is worth it in the long run for one's overall health ",30
93,"I would tell my friends that organic foods are the best option, because they are produced with no chemicals, less pesticides, and lower yields compared to conventional foods.",25
53,I would tell my friends that it is worth it to pay more for the organic food because there is less pesticides and chemicals used on the food which is healthier for you to consume.,25
181,I would tell my friends to simply stop splitting the food bill and buy and use only what they want to. ,0
27,"As much as I lean toward the organic side, the right decision for this case is to stick with the conventional food. All college students are tight on money so buying only organic food can get very expensive. I would tell the other roommate that if she wants a few organic things in the house she can spend her own extra money on it. ",15
69,organic because it is overall healthier for you and has better benefits for your body.,20
54,"Organic farming. Even though this method takes more time and land, it is safer for the environment. Humans have to accept the struggles within it and will be able to help better our planet if they use this farming method.",25
178,"I would tell my friends that organic is the best way to go because there are no chemicals involved, which are harmful to your health",20
9,"I would tell my friends that although it is more expensive, organic is the way to go. It is healthier with no chemicals and less pesticides",30
117,"I would have to recommend conventional farming to my friends. As much as organic methods sound great in theory, the science behind the actual benefits aren't concrete enough for me to be able to recommend it to others. Along with that, the practicality of conventional farming to feed Earth's increasing population is a factor that can't be denied.",15
204,I would not say one is better than the other. I think she should buy some foods organic and some not just to have a good balance. ,5
192,If you purchase organic food it lowers the chances of the product containing any harmful chemicals for humans. So in that case I would say it is best as it lowers the chances of you catching any health changing chemicals instead of non-organic foods.  ,20
185,I would choose organic foods because they are better for you due to the fact that they have less pesticides and less chemicals used.,20
70,"I would tell my friends that the conventional farming is better as even though it pollutes the air, for any college student the less expensive it is the more of a bargain it is considered and the more money the college student population is willing to spend on less expensive food. I would also say that conventional farming tends to maintain bio diversity while organic farming does not",25
125,i would tell them to watch the first video because it gives really important facts ,0
7,I would tell my friends to start eating organic food (if they can afford to) because it is healthier for them. ,15
102,I would tell a friend eating organic is the best option because it is better for your body as well as the health of the planet. ,20
43,"The conventional farming technique seems to be a better choice than organic. Organic farming tends to require more land usage and more water. This leaves a negative impact on our planet. It is also said that cows burp more methane when wandering on organic farms than conventional. This increases our planets global warming issue. Even with the pros and cons of organic versus conventional farming, I would lean towards telling people conventional farming is more realistic. ",30
18,I would tell my friends that it is best to buy from organic foods because they have less cancer casing pestisides,15
94,"I would tell me friends that it depends on their financial situation. If you can afford organic produce, then it's probably a healthier option. However, conventional farming works well for the majority of people because they can afford it. ",5
37,I would tell my friends conventional farming is best because I believe it is the most convenient and affordable for most people.,15
152,I would tell my friends the best option is organic because it is better and more sustainable for both the earth and people.,20
138,Inorganic foods because it is better for the environment in terms of land. We destroy so much land in order to provide organic foods. ,15
34,Being an organic eater is good for some people but It is not the choice that I would make because then you have to also take supplements to keep your body vitamins in check,10
17,I would tell them the first choice is the best,10
36,"I think organic food is the best option as long as one can afford it, it is worth it. ",10
180,Conventional because I cannot be a hypocrite and it is easier. ,10
222,"I would tell my friends to eat organic because it is overall better for the body, using pesticides and chemicals is bad for your health and there is no reason to be consuming them.",25
28,"I would tell my friends to choose organic foods because they are not only healthier for the body, but better for the environment than conventional foods.",20
142,organic becasue of the health benefits. ,15
85,"We could not afford to provide organic food to everyone in the world because it wouldn't be the same, but organic food helps the environment in soo many ways, so I choose organic",20
196,"I would tell them to choose organic because it is better for the environment and your health. Although it may be a little more expensive, it is overall a better option.",25
163,"I would tell my friends that organic is the best option for their own personal bodies, as it eliminates the usage of harsh chemicals. But, I would also advise them of the downfalls of organic farming, and suggest starting at a local farm and buying fresh produce there, if they are wary of organic farming.",25
49,to go organic because it is better for the environment ,15
225,I would tell my friends that yes organic food has many positives but if we are going to be splitting the groceries between us we should be buying conventional products to save money. ,20
209,"Organic Farming is the best options because it does not use harmful chemicals and pesticides. It also creates jobs, which are very labor intensive. ",25
120,"I would say organic because there are less chemicals and pesticides used. Even though eating organic is expensive, it is worth it. ",25
56,"I believe that organic farming is better. It seems as though it is better for the environment and better for the produce. Using none, or less, pesticides is definitely a better choice than over using them. There are some issues though with organic farming. Organic farming does not seem very practical. It restricts farmers from being able to grown in large masses. With a growing population and a higher need of produce, it seems almost illogical and unrealistic to organically farm even though it may be healthier. ",30
24,"I would tell my friends that buying organic foods is the better choice.  Although the organic foods are more expensive, there are less pesticides added to the plants and it maintains biodiversity.  Organic foods ensure a healthier environment and population.  ",30
42,I would tell them that organic is the best decision because it leaves out so many harmful chemicals that can negatively effect your body.,15
108,"organic farming is far more beneficial to society than commercial farming.  even though organic farming takes more time, and can be more expensive, it is much more nutritious and safe than commercial products.",20
200,I would tell my friends that organic is not better because to sustain the earth and with how many people live here we cant afford the cost of organic food. ,25
1,"From what I have heard, I feel that organic food would be the better choice. Considering that they are locally grown and they are better dealt with, organic foods seem like the better choice in my opinion. ",10
122,I would tell my friends that the best option is to cut down on using our resources like we have an unlimited supply. We don't have enough resources in the world for every person in the world so we must be responsible when it comes to our Earth and not take it for granted. ,0
226,Conventional would be the best choice,10
223,"I would tell my friend that eating organically is the best option because it takes a much lesser impact against the environment, and the environment needs to be preserved for as long as we are able to keep it preserved.  By keeping it preserved longer, we make it easier for generations to come to keep up with all the work that our generation can do to preserve and conserve resources on the planet.  The main reason that people don't buy organic foods is because they are more expensive, however after more and more people start to buy organic foods, the prices should drop, and putting the money towards that is much better than putting it towards large companies and farms that use chemical substances constantly, wasting the planet's resources.",30
135,organic foods are the best route because healthier for our bodies,15
29,to eat organically because it is better for your health,15
112,"Based on what I heard in the two videos, I would tell my friends that there are just as many pro and cons between conventional and organic farming. It's difficult to choose which is the better option because of this. If there were a more reliable source explaining each and every pro and con of them both, then it would be easier to choose. But in all honesty, almost every source that speaks of this topic is very biased. There are also no nutrient differences between the two, therefore I would tell my friends that the decision of which is better is to their own discretion. ",5
151,"Although I agree with organic being the better choice for the environment, I would say conventional because money is tight during college and we need money for books and classes more than organic food",20
139,I would tell my friends to eat organic but to still clean and wash fresh fruit and vegetables. ,10
153,"Conventional farming would be the better option, as it uses land  and water much more efficiently and its yields are large enough to sustain our massive population. ",25
73,"Organic because it's more closely cared for, no additives, preservatives, or large amount of pesticides are used on the crops. It also allows for my job and puts our economy back into a sustainable state. Creating more jobs in the fields will shift the views on stratification like it used to be before the industrial revolution. I think its best if people were encouraged or even forced to  go hunt and gather for resources rather than buying them from a grocery store. I feel this way because than the human race would see the value of animals and natural resources in a new view point. In addition, it would change our amount of waste and social views. We would become less dependent on foreign trade and ultimately shift back to sustaining ourselves rather than being a power hungry economy. I think our society has lost its views on what's actually important in this world and now we are consumed by an unrealistic image of how we should look, act, maintain, perform and even grew to. I may be among the few left in this world that finds farming and nature to be beautiful and a way we should all live so that we appreciate the world around us and what its natural beauty has to offer. ",30
127,To remain organic because it helps the environment. You don't have to become completely meatless to make a small difference.,15
103,Based on what I heard in the videos I would tell my friends that both organic and inorganic foods have pros and cons to each. I would encourage them to do research on both. I would personally choose to eat organic foods only and would say that's the best option. I do believe however it really comes down to their personal perspective after educating themselves on the topic. ,5
114,"I would tell my friends to buy non-organic. At first, I thought it would be better to buy organic foods, but there are many cons. As stated in the video, organic farming uses up more resources (water, land, etc.) compared to regular farming, which can make these resources scare. ",20
198,"I would say go with your gut, maybe try to buy locally from a farmer's market a few times a month, but ultimately organic costs more and that sometimes isn't sustainable for college students. I do think that eating some organic foods is good for the environment, but nutritionally  I don't think they necessarily have more value. ",5
155,"Even though organic farming has some cons, I would still recommend it to friends because it has more benefits for our bodies and the environment. The popularity of organic farming is still relatively new and I believe the market will find ways to adjust in order to reduce some of the cons mentioned in the video. ",25
130,"As I am relatively impartial on the topic, I would tell my friends to make a pro/con list, or maybe buy half organic half conventional groceries. For myself, I would eat more and suggest to buy more organic foods than conventional, as the price is the only downside to organic foods.",5
60,I will tell them to make the decision that's best for them. ,0
149,"I would tell my friends that they should use conventional food, because though it has more chemicals, there is no health risks that come from it and the food comes at a cheaper cost.",25
83,I would tell my friends to eat organic foods. Organic foods are less harmful to the environment in terms of emitting less carbon footprint and is also healthier and better for human consumption.,25
76,I would tell my friends that organic is the better option because it helps the environment by using fewer chemicals and pesticides.,20
105,"Based on what I heard in the videos, I would tell my friends that conventional farming is the best option moving forward, simply because organic farming would take too long and require too much untouched land.",20
52,"Id tell my friends to eat organic, because they're no chemicals and less pesticides.",20
169,"Organic foods use no pesticides or chemicals, which will undoubtedly make them healthier for humans in long-term. Therefore, organic food is the best option.",25
97,"Video 2, because it informs the audience about both the good and bad side of organic farming",5
19,become organic,10
189,"I would tell my friends that eating organic is the most sustainable and healthiest option, even if it means spending a few extra dollars on groceries each week. ",25
179,"I would say that inorganic foods are the best option because they are less expensive (college students are broke). If you look at the bigger picture, it is harmful to the environment. ",20
194,,0
63,organic so you aren't harming yourself,15
191,I would tell my friends the best options are organic foods because they are healthier for your body and even though it is more expensive it is worth to have fresh fruits and vegetables in your diet. ,20
66,I'd say conventional is best because it is cost efficient and can still be a healthy choice.  ,20
74,Organic foods is the best choice because it is significantly healthier and all around better for your health short and long term.,20
143,organic is the better health option however non-organic can be more cost effective for most people so it is more commonly purchased. ,20
136,I would tell them that honestly organic is better for the body because there is less things added to the food making it overall better for you.,15
25,"Organic, because the benefits outweigh any negatives",15
174,"Organic. No chemicals, less pesticides, overall better option.",20
110,"I would tell my friends (if I had any) that buying inorganic products is better than buying organic products.  One, because it is much cheaper and I cannot afford to buy all organic products.  Second, based on the videos I watched and what I've learned in class, organic products do not have to be 100% organic to be labeled as ""organic"" in the United States.  Lastly, organic products may also be worse for the environment than inorganic products because they require use of more resources. ",25
